wavelength[μm],reflectance1,reflectance2,reflectance3,reflectance4,reflectance5,reflectance6,reflectance7,reflectance8,reflectance9
3.17131,0.09550,0.09756,0.09929,0.09659,0.09782,0.09847,0.09601,0.09696,0.09990
3.17795,0.09800,0.10020,0.10210,0.09909,0.10033,0.10114,0.09841,0.09959,0.10229
3.18458,0.10013,0.10242,0.10466,0.10086,0.10241,0.10339,0.10088,0.10188,0.10471
3.19122,0.10270,0.10464,0.10693,0.10332,0.10515,0.10596,0.10299,0.10422,0.10699
3.19785,0.10592,0.10763,0.10970,0.10571,0.10799,0.10862,0.10538,0.10663,0.10914
3.20449,0.10875,0.11030,0.11246,0.10776,0.11021,0.11093,0.10773,0.10884,0.11136
3.21113,0.11085,0.11274,0.11469,0.10960,0.11226,0.11318,0.11002,0.11098,0.11373
3.21776,0.11348,0.11542,0.11747,0.11185,0.11479,0.11586,0.11245,0.11344,0.11631
3.22440,0.11674,0.11814,0.12074,0.11481,0.11788,0.11886,0.11513,0.11624,0.11924
3.23104,0.11996,0.12080,0.12354,0.11834,0.12133,0.12204,0.11854,0.11988,0.12239
3.23768,0.12296,0.12369,0.12648,0.12180,0.12451,0.12510,0.12207,0.12324,0.12538
3.24432,0.12556,0.12643,0.12907,0.12471,0.12707,0.12803,0.12482,0.12603,0.12804
3.25096,0.12790,0.12915,0.13155,0.12710,0.12948,0.13066,0.12754,0.12874,0.13135
3.25760,0.12976,0.13147,0.13393,0.12940,0.13157,0.13336,0.13025,0.13130,0.13394
3.26424,0.13193,0.13391,0.13587,0.13109,0.13369,0.13579,0.13212,0.13350,0.13648
3.27088,0.13446,0.13623,0.13837,0.13314,0.13630,0.13858,0.13408,0.13563,0.13877
3.27752,0.13768,0.13969,0.14158,0.13655,0.13967,0.14177,0.13693,0.13937,0.14215
3.28416,0.14146,0.14408,0.14548,0.14048,0.14326,0.14550,0.14074,0.14366,0.14601
3.29080,0.14465,0.14789,0.14892,0.14332,0.14669,0.14931,0.14408,0.14727,0.14956
3.29744,0.14673,0.15027,0.15134,0.14571,0.14967,0.15230,0.14724,0.15042,0.15252
3.30408,0.14949,0.15319,0.15446,0.14880,0.15304,0.15531,0.15037,0.15390,0.15598
3.31073,0.15300,0.15692,0.15818,0.15223,0.15653,0.15847,0.15392,0.15741,0.15922
3.31737,0.15618,0.16044,0.16114,0.15524,0.16001,0.16187,0.15701,0.16046,0.16267
3.32401,0.15859,0.16270,0.16355,0.15813,0.16317,0.16490,0.16002,0.16343,0.16516
3.33066,0.16170,0.16599,0.16689,0.16145,0.16614,0.16815,0.16319,0.16672,0.16863
3.33730,0.16591,0.17028,0.17095,0.16483,0.16991,0.17217,0.16645,0.17025,0.17256
3.34395,0.16938,0.17422,0.17461,0.16833,0.17372,0.17591,0.16951,0.17357,0.17598
3.35059,0.17279,0.17731,0.17739,0.17196,0.17618,0.17819,0.17204,0.17641,0.17883
3.35724,0.17636,0.18068,0.18024,0.17550,0.17947,0.18073,0.17448,0.17899,0.18148
3.36388,0.17867,0.18272,0.18250,0.17810,0.18158,0.18313,0.17708,0.18195,0.18388
3.37053,0.18169,0.18558,0.18578,0.18117,0.18472,0.18649,0.18058,0.18515,0.18714
3.37717,0.18440,0.18786,0.18838,0.18423,0.18772,0.18970,0.18426,0.18819,0.19065
3.38382,0.18691,0.19058,0.19092,0.18673,0.19002,0.19252,0.18675,0.19030,0.19363
3.39047,0.18941,0.19320,0.19361,0.18878,0.19232,0.19519,0.18867,0.19191,0.19598
3.39712,0.19247,0.19606,0.19708,0.19224,0.19549,0.19851,0.19188,0.19499,0.19938
3.40376,0.19573,0.19892,0.20071,0.19572,0.19862,0.20166,0.19509,0.19814,0.20287
3.41041,0.19856,0.20136,0.20352,0.19829,0.20085,0.20421,0.19774,0.20092,0.20512
3.41706,0.20168,0.20432,0.20649,0.20084,0.20342,0.20683,0.20017,0.20375,0.20765
3.42371,0.20473,0.20747,0.21004,0.20462,0.20666,0.21011,0.20392,0.20703,0.21125
3.43036,0.20742,0.21037,0.21348,0.20836,0.21040,0.21337,0.20745,0.21056,0.21464
3.43701,0.20922,0.21279,0.21620,0.21096,0.21259,0.21511,0.20954,0.21275,0.21665
3.44366,0.21130,0.21520,0.21873,0.21282,0.21457,0.21677,0.21115,0.21456,0.21841
3.45031,0.21361,0.21810,0.22139,0.21517,0.21711,0.21920,0.21337,0.21729,0.22089
3.45696,0.21567,0.22080,0.22390,0.21711,0.21951,0.22215,0.21572,0.21995,0.22390
3.46361,0.21820,0.22390,0.22704,0.21932,0.22308,0.22541,0.21866,0.22356,0.22759
3.47026,0.22174,0.22776,0.23064,0.22231,0.22719,0.22906,0.22162,0.22714,0.23146
3.47692,0.22491,0.23127,0.23386,0.22561,0.23129,0.23297,0.22522,0.23039,0.23508
3.48357,0.22787,0.23378,0.23540,0.22852,0.23454,0.23545,0.22810,0.23300,0.23741
3.49022,0.23081,0.23656,0.23807,0.23131,0.23753,0.23863,0.23114,0.23521,0.23954
3.49687,0.23481,0.24026,0.24211,0.23509,0.24147,0.24334,0.23462,0.23805,0.24303
